    INFO | 2026-08-24 16:40:53 | inputfiles.py:from_file:136 | Loading the reduction file
    INFO | 2026-08-24 16:40:53 | inputfiles.py:from_file:214 | PypeIt input file loaded successfully.
    INFO | 2026-08-24 16:40:53 | inputfiles.py:vet:685 | PypeIt file successfully vetted.
 WARNING | 2026-08-24 16:40:53 | keck_kcwi.py:config_specific_par:156 | Full template solution is unavailable
    INFO | 2026-08-24 16:40:53 | keck_kcwi.py:config_specific_par:157 | Adopting holy-grail algorithm - Check the wavelength solution!
    INFO | 2026-08-24 16:40:53 | pypeit.py:__init__:82 | Loaded spectrograph keck_kcrm
    INFO | 2026-08-24 16:40:53 | pypeit.py:__init__:83 | Setting configuration-specific parameters using KR.20231109.40502.65.fits.
 WARNING | 2026-08-24 16:40:53 | parset.py:to_config:662 | Selected configuration file already exists and will be overwritten!
    INFO | 2026-08-24 16:40:53 | pypeit.py:__init__:99 | Compiling metadata
    INFO | 2026-08-24 16:40:53 | metadata.py:_build:206 | Building metadata for 33 files.
    INFO | 2026-08-24 16:40:53 | metadata.py:_build:235 | Adding metadata for KR.20231109.61403.71.fits
    INFO | 2026-08-24 16:40:53 | metadata.py:_build:235 | Adding metadata for KR.20231109.61607.71.fits
    INFO | 2026-08-24 16:40:53 | metadata.py:_build:235 | Adding metadata for KR.20231109.61809.67.fits
    INFO | 2026-08-24 16:40:53 | metadata.py:_build:235 | Adding metadata for KR.20231109.62365.58.fits
    INFO | 2026-08-24 16:40:53 | metadata.py:_build:235 | Adding metadata for KR.20231109.62887.82.fits
    INFO | 2026-08-24 16:40:53 | metadata.py:_build:235 | Adding metadata for KR.20231109.63409.40.fits
    INFO | 2026-08-24 16:40:53 | metadata.py:_build:235 | Adding metadata for KR.20231109.59978.76.fits
    INFO | 2026-08-24 16:40:53 | metadata.py:_build:235 | Adding metadata for KR.20231109.60079.74.fits
    INFO | 2026-08-24 16:40:54 | metadata.py:_build:235 | Adding metadata for KR.20231109.60181.74.fits
    INFO | 2026-08-24 16:40:54 | metadata.py:_build:235 | Adding metadata for KR.20231109.60283.74.fits
    INFO | 2026-08-24 16:40:54 | metadata.py:_build:235 | Adding metadata for KR.20231109.60384.72.fits
    INFO | 2026-08-24 16:40:54 | metadata.py:_build:235 | Adding metadata for KR.20231109.60486.72.fits
    INFO | 2026-08-24 16:40:54 | metadata.py:_build:235 | Adding metadata for KR.20231109.60588.72.fits
    INFO | 2026-08-24 16:40:54 | metadata.py:_build:235 | Adding metadata for KR.20231109.58480.36.fits
    INFO | 2026-08-24 16:40:54 | metadata.py:_build:235 | Adding metadata for KR.20231109.58882.24.fits
    INFO | 2026-08-24 16:40:54 | metadata.py:_build:235 | Adding metadata for KR.20231109.59284.14.fits
    INFO | 2026-08-24 16:40:54 | metadata.py:_build:235 | Adding metadata for KR.20231109.67075.99.fits
    INFO | 2026-08-24 16:40:54 | metadata.py:_build:235 | Adding metadata for KR.20231109.67477.88.fits
    INFO | 2026-08-24 16:40:54 | metadata.py:_build:235 | Adding metadata for KR.20231109.67879.76.fits
    INFO | 2026-08-24 16:40:54 | metadata.py:_build:235 | Adding metadata for KR.20231109.65216.51.fits
    INFO | 2026-08-24 16:40:54 | metadata.py:_build:235 | Adding metadata for KR.20231109.65478.65.fits
    INFO | 2026-08-24 16:40:54 | metadata.py:_build:235 | Adding metadata for KR.20231109.65739.77.fits
    INFO | 2026-08-24 16:40:54 | metadata.py:_build:235 | Adding metadata for KR.20231109.66001.92.fits
    INFO | 2026-08-24 16:40:54 | metadata.py:_build:235 | Adding metadata for KR.20231109.66263.40.fits
    INFO | 2026-08-24 16:40:54 | metadata.py:_build:235 | Adding metadata for KR.20231109.66525.19.fits
    INFO | 2026-08-24 16:40:54 | metadata.py:_build:235 | Adding metadata for KR.20231109.40502.65.fits
    INFO | 2026-08-24 16:40:54 | metadata.py:_build:235 | Adding metadata for KR.20231109.40805.59.fits
    INFO | 2026-08-24 16:40:54 | metadata.py:_build:235 | Adding metadata for KR.20231109.41104.45.fits
    INFO | 2026-08-24 16:40:54 | metadata.py:_build:235 | Adding metadata for KR.20231109.56603.56.fits
    INFO | 2026-08-24 16:40:54 | metadata.py:_build:235 | Adding metadata for KR.20231109.56903.44.fits
    INFO | 2026-08-24 16:40:54 | metadata.py:_build:235 | Adding metadata for KR.20231109.63948.62.fits
    INFO | 2026-08-24 16:40:54 | metadata.py:_build:235 | Adding metadata for KR.20231109.64469.86.fits
    INFO | 2026-08-24 16:40:54 | metadata.py:_build:235 | Adding metadata for KR.20231109.64991.80.fits
 WARNING | 2026-08-24 16:40:54 | metadata.py:_vet_instrument:180 | The instrument name in the headers of the raw files does not match the expected one! Found KCWI, expected KCRM.  You may have chosen the wrong PypeIt spectrograph name!
 WARNING | 2026-08-24 16:40:54 | metadata.py:get_frame_types:1384 | Removing existing frametype and framebit columns.
    INFO | 2026-08-24 16:40:54 | metadata.py:get_frame_types:1391 | Typing files
    INFO | 2026-08-24 16:40:54 | metadata.py:get_frame_types:1401 | Using user-provided frame types.
    INFO | 2026-08-24 16:40:54 | calibrations.py:check_for_calibs:1862 | Congrats!!  You passed the calibrations inspection!!
    INFO | 2026-08-24 16:40:54 | metadata.py:unique_configurations:696 | Setup column already set.  Finding unique configurations.
    INFO | 2026-08-24 16:40:54 | metadata.py:unique_configurations:706 | Found 1 unique configurations.
