    INFO | 2026-08-24 12:15:56 | inputfiles.py:from_file:136 | Loading the reduction file
    INFO | 2026-08-24 12:15:56 | inputfiles.py:from_file:214 | PypeIt input file loaded successfully.
    INFO | 2026-08-24 12:15:56 | inputfiles.py:vet:685 | PypeIt file successfully vetted.
 WARNING | 2026-08-24 12:15:56 | keck_kcwi.py:config_specific_par:156 | Full template solution is unavailable
    INFO | 2026-08-24 12:15:56 | keck_kcwi.py:config_specific_par:157 | Adopting holy-grail algorithm - Check the wavelength solution!
    INFO | 2026-08-24 12:15:56 | pypeit.py:__init__:82 | Loaded spectrograph keck_kcrm
    INFO | 2026-08-24 12:15:56 | pypeit.py:__init__:83 | Setting configuration-specific parameters using KR.20231118.16592.17.fits.
 WARNING | 2026-08-24 12:15:56 | parset.py:to_config:662 | Selected configuration file already exists and will be overwritten!
    INFO | 2026-08-24 12:15:56 | pypeit.py:__init__:99 | Compiling metadata
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:206 | Building metadata for 29 files.
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.04992.98.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.05027.67.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.05062.36.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.05148.90.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.05194.10.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.05239.92.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.04534.90.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.04578.77.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.04622.64.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.04665.51.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.04709.38.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.04753.25.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.04797.11.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.07498.85.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.07602.91.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.07706.99.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.05457.22.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.05511.35.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.05565.42.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.05620.52.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.05674.59.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.05729.67.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.16592.17.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.16800.25.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.16964.48.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.17128.70.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.05305.21.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.05351.13.fits
    INFO | 2026-08-24 12:15:56 | metadata.py:_build:235 | Adding metadata for KR.20231118.05397.40.fits
 WARNING | 2026-08-24 12:15:56 | metadata.py:_vet_instrument:180 | The instrument name in the headers of the raw files does not match the expected one! Found KCWI, expected KCRM.  You may have chosen the wrong PypeIt spectrograph name!
 WARNING | 2026-08-24 12:15:56 | metadata.py:get_frame_types:1384 | Removing existing frametype and framebit columns.
    INFO | 2026-08-24 12:15:56 | metadata.py:get_frame_types:1391 | Typing files
    INFO | 2026-08-24 12:15:56 | metadata.py:get_frame_types:1401 | Using user-provided frame types.
    INFO | 2026-08-24 12:15:56 | calibrations.py:check_for_calibs:1862 | Congrats!!  You passed the calibrations inspection!!
    INFO | 2026-08-24 12:15:56 | metadata.py:unique_configurations:696 | Setup column already set.  Finding unique configurations.
    INFO | 2026-08-24 12:15:56 | metadata.py:unique_configurations:706 | Found 1 unique configurations.
    INFO | 2026-08-24 12:15:56 | calibrations.py:association_summary:1731 | Calibration association file written to: /Users/kaiwenzhang/PycharmProjects/KCWI/KCWI_RED_channel_characterization/RH2 pypeit run/2023-11-17/pypeit_run/keck_kcrm_B/keck_kcrm_B.calib
