    INFO | 2026-08-26 13:15:41 | inputfiles.py:from_file:136 | Loading the reduction file
    INFO | 2026-08-26 13:15:41 | inputfiles.py:from_file:214 | PypeIt input file loaded successfully.
    INFO | 2026-08-26 13:15:41 | inputfiles.py:vet:685 | PypeIt file successfully vetted.
    INFO | 2026-08-26 13:15:41 | pypeit.py:__init__:82 | Loaded spectrograph keck_kcrm
    INFO | 2026-08-26 13:15:41 | pypeit.py:__init__:83 | Setting configuration-specific parameters using KR.20240402.19809.27.fits.
 WARNING | 2026-08-26 13:15:41 | parset.py:to_config:662 | Selected configuration file already exists and will be overwritten!
    INFO | 2026-08-26 13:15:41 | pypeit.py:__init__:99 | Compiling metadata
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:206 | Building metadata for 28 files.
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.08882.11.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.09041.26.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.09199.36.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.09504.37.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.09774.73.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.10046.50.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.03407.50.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.07499.97.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.07601.97.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.07703.98.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.07805.98.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.07906.96.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.08007.94.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.08109.94.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.12636.17.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.13038.11.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.13439.30.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.11060.40.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.11279.37.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.11497.68.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.11715.99.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.11934.30.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.12152.62.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.19809.27.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.20060.19.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.10335.77.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.10606.11.fits
    INFO | 2026-08-26 13:15:41 | metadata.py:_build:235 | Adding metadata for KR.20240402.10877.44.fits
 WARNING | 2026-08-26 13:15:41 | metadata.py:_vet_instrument:180 | The instrument name in the headers of the raw files does not match the expected one! Found KCWI, expected KCRM.  You may have chosen the wrong PypeIt spectrograph name!
 WARNING | 2026-08-26 13:15:41 | metadata.py:get_frame_types:1384 | Removing existing frametype and framebit columns.
    INFO | 2026-08-26 13:15:41 | metadata.py:get_frame_types:1391 | Typing files
    INFO | 2026-08-26 13:15:41 | metadata.py:get_frame_types:1401 | Using user-provided frame types.
    INFO | 2026-08-26 13:15:41 | calibrations.py:check_for_calibs:1862 | Congrats!!  You passed the calibrations inspection!!
    INFO | 2026-08-26 13:15:41 | metadata.py:unique_configurations:696 | Setup column already set.  Finding unique configurations.
    INFO | 2026-08-26 13:15:41 | metadata.py:unique_configurations:706 | Found 1 unique configurations.
    INFO | 2026-08-26 13:15:41 | calibrations.py:association_summary:1731 | Calibration association file written to: /Users/kaiwenzhang/PycharmProjects/KCWI/KCWI_RED_channel_characterization/RM1 pypeit run/2024-04-01/pypeit_run/keck_kcrm_A/keck_kcrm_A.calib
