grating,cenwave,slicer,ncubes,combined_peak_pct,peak_wave_A,plateau_lo_A,plateau_hi_A,status
RL,7150,Medium,2,31.5,8811,8742,8885,ok
RL,7150,Large,2,30.6,7022,6858,8910,ok
RL,7250,Medium,1,32.4,8928,8879,8965,ok
RL,7800,Medium,1,36.4,9278,9204,9346,ok
RL,8000,Medium,1,34.8,9150,9036,9263,ok
RL,8100,Medium,1,35.7,9107,8993,9223,ok
RM1,6130,Small,1,31.3,6477,6355,6598,ok
RM1,6200,Large,1,33.6,6484,6352,6612,ok
RM1,6300,Large,1,31.7,6776,6581,6884,lower limit
RM1,6480,Large,1,33.6,6731,6438,6945,ok
RM1,6630,Large,2,34.4,6844,6625,7029,ok
RM1,7390,Small,1,33.3,7217,7043,7395,ok
RM1,7510,Large,2,34.1,7263,7075,7440,ok
RM2,7750,Small,1,32.5,8721,8622,8721,ok
RM2,8850,Small,2,38.6,9284,9110,9445,ok
RM2,8900,Medium,2,39.9,9326,9144,9485,ok
RM2,8950,Medium,3,40.9,9377,9212,9515,ok
RH1,6140,Large,1,30.7,6170,6125,6228,ok
RH1,6200,Large,1,31.7,6213,6176,6250,ok
RH1,6520,Large,8,31.7,6498,6457,6538,ok
RH1,6600,Large,1,32.5,6561,6501,6624,ok
RH1,6680,Small,2,29.0,6626,6586,6687,ok
RH2,6750,Medium,3,26.5,6776,6717,6852,ok
RH2,6900,Large,1,31.9,6924,6872,6975,ok
RH2,6950,Large,1,31.5,7065,6886,7133,ok
RH2,7100,Large,3,32.0,7164,7026,7217,ok
RH3,8400,Medium,1,30.9,8469,8387,8545,ok
RH3,8600,Medium,3,32.8,8660,8583,8732,ok
RH4,9950,Large,2,34.3,9766,9700,9840,ok
