grating, cenwave, slicer, binning, night     , setup, star    , nframes, exptime_s, airmass, fit_lo_A, fit_hi_A, peak_pct, peak_wave_A, interior_mean_pct, status
RL     ,    7150, Medium, "2,2"  , 2024-07-06, C    , feige110,       3,       135,    1.10,     5630,     8916,     31.1,        7983,              27.3, ok
RL     ,    7150, Medium, "2,2"  , 2024-12-04, C    , feige110,       2,        50,    1.10,     5623,     8912,     32.5,        8787,              26.8, ok
RL     ,    7150, Large , "2,2"  , 2024-11-01, C    , feige110,       3,        30,    1.10,     5580,     8910,     31.1,        8909,              27.5, ok
RL     ,    7150, Large , "2,2"  , 2024-12-04, B    , feige110,       3,        60,    1.10,     5584,     8909,     31.1,        8352,              27.7, ok
RL     ,    7250, Medium, "2,2"  , 2023-11-10, B    , feige110,       6,       385,    1.24,     5729,     9007,     32.4,        8928,              27.8, ok
RL     ,    7800, Medium, "2,2"  , 2024-07-06, B    , feige110,       3,       135,    1.10,     6278,     9561,     36.4,        9278,              29.2, ok
RL     ,    8000, Medium, "2,2"  , 2024-12-28, B    , feige110,       3,       135,    1.25,     6471,     9757,     34.8,        9150,              30.4, ok
RL     ,    8100, Medium, "2,2"  , 2023-11-08, B    , feige110,       3,       400,    1.21,     6576,     9857,     35.7,        9107,              30.4, ok
RM1    ,    6130, Small , "1,1"  , 2024-04-01, A    , feige34 ,       2,       125,    1.35,     5542,     6814,     31.3,        6477,              27.1, ok
RM1    ,    6200, Large , "2,2"  , 2024-05-02, B    , feige34 ,       5,       360,    1.10,     5565,     6878,     33.6,        6484,              29.7, ok
RM1    ,    6300, Large , "2,2"  , 2024-03-15, B    , feige34 ,       6,       240,    1.34,     5666,     6977,     31.7,        6776,              29.3, lower limit
RM1    ,    6480, Large , "2,2"  , 2023-12-09, B    , feige34 ,       2,        21,    1.09,     5849,     7155,     33.6,        6731,              31.8, ok
RM1    ,    6630, Large , "2,2"  , 2023-12-10, C    , feige34 ,       4,        60,    1.09,     6000,     7301,     34.3,        6820,              32.6, ok
RM1    ,    6630, Large , "2,2"  , 2023-12-11, C    , feige34 ,       4,        60,    1.09,     6000,     7301,     34.6,        6878,              33.2, ok
RM1    ,    7390, Small , "1,1"  , 2024-04-01, B    , feige34 ,       2,       400,    1.31,     6786,     8048,     33.3,        7217,              31.4, ok
RM1    ,    7510, Large , "2,2"  , 2023-12-10, B    , feige34 ,       3,        45,    1.09,     6887,     8162,     34.8,        7257,              32.4, ok
RM1    ,    7510, Large , "2,2"  , 2023-12-11, B    , feige34 ,       3,        45,    1.09,     6888,     8162,     34.6,        6888,              32.1, ok
RM2    ,    7750, Small , "1,1"  , 2024-05-09, A    , feige34 ,       3,       360,    1.09,     6927,     8721,     32.5,        8721,              30.6, ok
RM2    ,    8850, Small , "1,1"  , 2024-06-10, A    , feige110,       6,        60,    1.21,     8029,     9795,     37.8,        9287,              34.0, ok
RM2    ,    8850, Small , "1,1"  , 2024-12-24, A    , feige34 ,       4,        70,    1.13,     8027,     9806,     39.5,        9281,              35.4, ok
RM2    ,    8900, Medium, "2,2"  , 2024-01-04, B    , feige34 ,       3,       360,    1.20,     8081,     9850,     40.1,        9345,              36.2, ok
RM2    ,    8900, Medium, "2,2"  , 2024-04-30, B    , feige34 ,       3,       450,    1.10,     8079,     9849,     39.8,        9309,              35.7, ok
RM2    ,    8950, Medium, "2,2"  , 2024-06-11, B    , feige34 ,       4,       145,    1.25,     8130,     9897,     40.9,        9388,              36.1, ok
RM2    ,    8950, Medium, "2,2"  , 2025-01-01, B    , feige34 ,       3,       138,    1.10,     8129,     9898,     41.3,        9374,              37.1, ok
RM2    ,    8950, Medium, "2,2"  , 2025-01-02, B    , feige34 ,       3,       105,    1.10,     8129,     9898,     40.4,        9364,              36.1, ok
RM2    ,    9850, Medium, "2,2"  , 2023-09-23, B    , feige110,       5,       270,    1.25,     9038,    10241,     31.4,        9399,              26.6, excluded
RH1    ,    6140, Large , "2,2"  , 2023-11-17, B    , feige34 ,       3,       180,    1.19,     5840,     6429,     30.7,        6170,              25.2, ok
RH1    ,    6150, Large , "2,2"  , 2024-03-13, B    , feige34 ,       3,       180,    1.27,     5850,     6438,     21.7,        6191,              17.7, excluded
RH1    ,    6200, Large , "2,2"  , 2023-09-16, B    , g191b2b ,       4,       290,    1.20,     5902,     6486,     31.7,        6213,              26.1, ok
RH1    ,    6200, Large , "2,2"  , 2023-11-07, B    , g191b2b ,       4,       200,    1.44,     5902,     6486,     26.4,        6193,              21.8, excluded
RH1    ,    6520, Large , "2,2"  , 2023-10-15, B    , g191b2b ,       2,       120,    1.60,     6232,     6787,     32.7,        6503,              27.5, ok
RH1    ,    6520, Large , "2,2"  , 2023-10-15, B    , g191b2b ,       3,       270,    1.24,     6232,     6787,     34.9,        6514,              29.4, ok
RH1    ,    6520, Large , "2,2"  , 2023-10-16, B    , g191b2b ,       3,       270,    1.61,     6232,     6787,     30.5,        6472,              26.5, ok
RH1    ,    6520, Large , "2,2"  , 2023-10-16, B    , g191b2b ,       3,       270,    1.25,     6232,     6787,     29.2,        6500,              24.9, ok
RH1    ,    6520, Large , "2,2"  , 2023-10-17, C    , g191b2b ,       3,       270,    1.57,     6233,     6787,     32.5,        6482,              28.0, ok
RH1    ,    6520, Large , "2,2"  , 2023-10-17, C    , g191b2b ,       3,       270,    1.28,     6233,     6787,     32.5,        6524,              27.2, ok
RH1    ,    6520, Large , "2,2"  , 2023-10-20, B    , g191b2b ,       3,       270,    1.51,     6232,     6787,     29.7,        6465,              25.9, ok
RH1    ,    6520, Large , "2,2"  , 2023-10-20, B    , g191b2b ,       3,       270,    1.21,     6232,     6787,     32.7,        6486,              28.2, ok
RH1    ,    6600, Large , "2,2"  , 2023-11-17, C    , feige34 ,       2,       120,    1.18,     6315,     6862,     32.5,        6561,              28.4, ok
RH1    ,    6680, Small , "1,1"  , 2023-11-08, A    , g191b2b ,       3,       600,    1.22,     6406,     6930,     29.5,        6620,              25.8, ok
RH1    ,    6680, Small , "1,1"  , 2023-11-08, A    , g191b2b ,       2,       400,    1.61,     6406,     6930,     28.7,        6648,              25.1, ok
RH2    ,    6750, Medium, "2,2"  , 2024-10-29, B    , feige110,       5,       500,    1.38,     6408,     7132,     26.9,        6741,              23.0, ok
RH2    ,    6750, Medium, "2,2"  , 2024-11-06, B    , feige110,       2,       600,    1.11,     6405,     7128,     26.1,        6783,              22.2, ok
RH2    ,    6750, Medium, "2,2"  , 2024-11-07, B    , feige110,       3,      1350,    1.29,     6407,     7133,     26.6,        6785,              22.7, ok
RH2    ,    6900, Large , "2,2"  , 2023-11-17, B    , feige110,       4,       420,    1.17,     6543,     7209,     31.9,        6924,              27.4, ok
RH2    ,    6950, Large , "2,2"  , 2023-09-16, C    , g191b2b ,       3,       270,    1.19,     6597,     7296,     31.5,        7065,              27.9, ok
RH2    ,    7100, Large , "2,2"  , 2023-09-16, B    , g191b2b ,       3,       270,    1.20,     6751,     7440,     31.7,        7039,              28.4, ok
RH2    ,    7100, Large , "2,2"  , 2023-11-07, B    , feige110,       6,       360,    1.24,     6749,     7439,     31.2,        7184,              27.3, ok
RH2    ,    7100, Large , "2,2"  , 2023-11-17, C    , feige110,       3,       360,    1.15,     6759,     7438,     33.7,        7140,              29.3, ok
RH3    ,    8400, Medium, "2,2"  , 2024-10-01, B    , g191b2b ,       3,       300,    1.21,     8010,     8776,     30.9,        8469,              27.1, ok
RH3    ,    8600, Medium, "2,2"  , 2023-11-12, B    , feige110,       2,       540,    1.21,     8214,     8965,     32.1,        8640,              28.3, ok
RH3    ,    8600, Medium, "2,2"  , 2024-10-29, B    , feige110,       2,       360,    1.31,     8214,     8964,     34.5,        8673,              29.8, ok
RH3    ,    8600, Medium, "2,2"  , 2024-11-06, B    , feige110,       2,       600,    1.10,     8214,     8965,     32.0,        8656,              28.4, ok
RH4    ,    9950, Large , "2,2"  , 2024-12-28, B    , feige110,       3,       410,    1.20,     9480,    10180,     34.2,        9778,              28.3, ok
RH4    ,    9950, Large , "2,2"  , 2024-12-28, B    , feige34 ,       2,       360,    1.15,     9480,    10236,     34.5,        9757,              27.7, ok
