grating,wavelength_A,composite_pct,sd_pct,n_blazes,n_effective
RL,5585,12.588,,1,0.00
RL,5586,12.632,,1,0.00
RL,5587,12.675,,1,0.00
RL,5588,12.718,,1,0.00
RL,5589,12.761,,1,0.00
RL,5590,12.804,,1,0.00
RL,5591,12.847,,1,0.00
RL,5592,12.890,,1,0.00
RL,5593,12.932,,1,0.00
RL,5594,12.975,,1,0.00
RL,5595,13.017,,1,0.00
RL,5596,13.059,,1,0.01
RL,5597,13.101,,1,0.01
RL,5598,13.143,,1,0.01
RL,5599,13.185,,1,0.01
RL,5600,13.227,,1,0.01
RL,5601,13.268,,1,0.01
RL,5602,13.310,,1,0.01
RL,5603,13.351,,1,0.01
RL,5604,13.392,,1,0.02
RL,5605,13.433,,1,0.02
RL,5606,13.474,,1,0.02
RL,5607,13.515,,1,0.02
RL,5608,13.556,,1,0.02
RL,5609,13.597,,1,0.02
RL,5610,13.637,,1,0.03
RL,5611,13.677,,1,0.03
RL,5612,13.718,,1,0.03
RL,5613,13.758,,1,0.03
RL,5614,13.798,,1,0.04
RL,5615,13.838,,1,0.04
RL,5616,13.878,,1,0.04
RL,5617,13.918,,1,0.04
RL,5618,13.957,,1,0.04
RL,5619,13.997,,1,0.05
RL,5620,14.036,,1,0.05
RL,5621,14.075,,1,0.05
RL,5622,14.114,,1,0.06
RL,5623,14.153,,1,0.06
RL,5624,14.192,,1,0.06
RL,5625,14.231,,1,0.06
RL,5626,14.270,,1,0.07
RL,5627,14.308,,1,0.07
RL,5628,14.347,,1,0.07
RL,5629,14.385,,1,0.08
RL,5630,14.423,,1,0.08
RL,5631,14.462,0.438,2,0.08
RL,5632,14.500,0.438,2,0.09
RL,5633,14.537,0.437,2,0.09
RL,5634,14.575,0.437,2,0.10
RL,5635,14.613,0.436,2,0.10
RL,5636,14.650,0.436,2,0.10
RL,5637,14.688,0.435,2,0.11
RL,5638,14.725,0.435,2,0.11
RL,5639,14.762,0.434,2,0.12
RL,5640,14.800,0.434,2,0.12
RL,5641,14.837,0.434,2,0.13
RL,5642,14.873,0.433,2,0.13
RL,5643,14.910,0.433,2,0.14
RL,5644,14.947,0.432,2,0.14
RL,5645,14.983,0.432,2,0.15
RL,5646,15.020,0.431,2,0.15
RL,5647,15.056,0.431,2,0.16
RL,5648,15.093,0.431,2,0.17
RL,5649,15.129,0.430,2,0.17
RL,5650,15.165,0.430,2,0.18
RL,5651,15.201,0.430,2,0.18
RL,5652,15.236,0.429,2,0.19
RL,5653,15.272,0.429,2,0.20
RL,5654,15.308,0.428,2,0.20
RL,5655,15.343,0.428,2,0.21
RL,5656,15.378,0.428,2,0.22
RL,5657,15.414,0.427,2,0.22
RL,5658,15.449,0.427,2,0.23
RL,5659,15.484,0.427,2,0.24
RL,5660,15.519,0.426,2,0.25
RL,5661,15.554,0.426,2,0.25
RL,5662,15.588,0.426,2,0.26
RL,5663,15.623,0.425,2,0.27
RL,5664,15.658,0.425,2,0.28
RL,5665,15.692,0.425,2,0.28
RL,5666,15.726,0.424,2,0.29
RL,5667,15.760,0.424,2,0.30
RL,5668,15.795,0.424,2,0.31
RL,5669,15.829,0.423,2,0.32
RL,5670,15.862,0.423,2,0.33
RL,5671,15.896,0.423,2,0.33
RL,5672,15.930,0.422,2,0.34
RL,5673,15.963,0.422,2,0.35
RL,5674,15.997,0.422,2,0.36
RL,5675,16.030,0.422,2,0.37
RL,5676,16.063,0.421,2,0.38
RL,5677,16.097,0.421,2,0.39
RL,5678,16.130,0.421,2,0.40
RL,5679,16.163,0.420,2,0.41
RL,5680,16.195,0.420,2,0.42
RL,5681,16.228,0.420,2,0.43
RL,5682,16.261,0.420,2,0.44
RL,5683,16.293,0.419,2,0.45
RL,5684,16.326,0.419,2,0.46
RL,5685,16.358,0.419,2,0.47
RL,5686,16.390,0.419,2,0.48
RL,5687,16.422,0.418,2,0.49
RL,5688,16.454,0.418,2,0.50
RL,5689,16.486,0.418,2,0.51
RL,5690,16.518,0.418,2,0.52
RL,5691,16.550,0.418,2,0.53
RL,5692,16.582,0.417,2,0.54
RL,5693,16.613,0.417,2,0.55
RL,5694,16.644,0.417,2,0.56
RL,5695,16.676,0.417,2,0.57
RL,5696,16.707,0.417,2,0.58
RL,5697,16.738,0.416,2,0.59
RL,5698,16.769,0.416,2,0.60
RL,5699,16.800,0.416,2,0.61
RL,5700,16.831,0.416,2,0.62
RL,5701,16.862,0.416,2,0.64
RL,5702,16.892,0.415,2,0.65
RL,5703,16.923,0.415,2,0.66
RL,5704,16.953,0.415,2,0.67
RL,5705,16.984,0.415,2,0.68
RL,5706,17.014,0.415,2,0.69
RL,5707,17.044,0.415,2,0.70
RL,5708,17.074,0.414,2,0.72
RL,5709,17.104,0.414,2,0.73
RL,5710,17.134,0.414,2,0.74
RL,5711,17.163,0.414,2,0.75
RL,5712,17.193,0.414,2,0.76
RL,5713,17.223,0.414,2,0.77
RL,5714,17.252,0.414,2,0.78
RL,5715,17.281,0.414,2,0.80
RL,5716,17.311,0.413,2,0.81
RL,5717,17.340,0.413,2,0.82
RL,5718,17.369,0.413,2,0.83
RL,5719,17.398,0.413,2,0.84
RL,5720,17.427,0.413,2,0.86
RL,5721,17.456,0.413,2,0.87
RL,5722,17.484,0.413,2,0.88
RL,5723,17.513,0.413,2,0.89
RL,5724,17.541,0.413,2,0.90
RL,5725,17.570,0.413,2,0.92
RL,5726,17.598,0.412,2,0.93
RL,5727,17.626,0.412,2,0.94
RL,5728,17.654,0.412,2,0.95
RL,5729,17.682,0.412,2,0.96
RL,5730,17.710,0.412,3,0.98
RL,5731,17.738,0.412,3,0.99
RL,5732,17.766,0.412,3,1.00
RL,5733,17.794,0.412,3,1.01
RL,5734,17.821,0.412,3,1.02
RL,5735,17.849,0.412,3,1.04
RL,5736,17.876,0.412,3,1.05
RL,5737,17.903,0.412,3,1.06
RL,5738,17.931,0.412,3,1.07
RL,5739,17.958,0.412,3,1.09
RL,5740,17.985,0.412,3,1.10
RL,5741,18.012,0.412,3,1.11
RL,5742,18.038,0.412,3,1.13
RL,5743,18.065,0.412,3,1.14
RL,5744,18.092,0.412,3,1.15
RL,5745,18.118,0.412,3,1.17
RL,5746,18.145,0.412,3,1.18
RL,5747,18.171,0.412,3,1.19
RL,5748,18.197,0.412,3,1.20
RL,5749,18.224,0.412,3,1.22
RL,5750,18.250,0.412,3,1.23
RL,5751,18.276,0.412,3,1.24
RL,5752,18.302,0.412,3,1.26
RL,5753,18.328,0.412,3,1.27
RL,5754,18.353,0.412,3,1.29
RL,5755,18.379,0.412,3,1.30
RL,5756,18.405,0.412,3,1.31
RL,5757,18.430,0.412,3,1.33
