grating,cw,slicer,night,setup,star,npix,disp,blue_px,red_px,blue_A,red_A,fitcut_blue_A,fitcut_red_A,par_blue,par_red,par_ok,deliv_lo,deliv_hi,sens_lo,sens_hi,fit_lo,fit_hi,tag
RL,7150,Medium,2024-07-06,C,feige110,2311,1.84375,265,264,486.8163379495527,485.0494443478383,0.3002403797172519,0.7133144850522513,264,263,True,5142.61572265625,9401.9560546875,5629.432060605803,8916.906610339662,5629.73230098552,8916.19329585461,feige110_2024-07-06_C
RL,7150,Large,2024-11-01,C,feige110,2287,1.84423828125,241,239,442.6312492992247,439.0743043548355,1.9340258751662986,2.376225408508617,240,238,True,5135.39697265625,9351.2265625,5578.028221955475,8912.152258145165,5579.962247830641,8909.776032736656,feige110_2024-11-01_C
RL,7150,Large,2024-12-04,B,feige110,2288,1.84423828125,241,239,442.6950447554045,438.97203010520207,6.993739636231112,3.326715581373719,240,238,True,5133.99462890625,9351.599609375,5576.6896736616545,8912.627579269798,5583.683413297886,8909.300863688424,feige110_2024-12-04_B
RL,7150,Medium,2024-12-04,C,feige110,2311,1.84423828125,264,263,485.1399038528016,483.2062342726713,0.0,2.614510200852237,263,262,True,5137.69091796875,9397.7353515625,5622.830821821552,8914.529117289829,5622.830821821552,8911.914607088976,feige110_2024-12-04_C
RL,7250,Medium,2023-11-10,B,feige110,2311,1.84423828125,265,263,486.93732713437294,483.1774639693431,1.2220245350181358,10.814457566370038,264,262,True,5240.76806640625,9500.75390625,5727.705393540623,9017.576442280657,5728.927418075641,9006.761984714287,feige110_2023-11-10_B
RL,7800,Medium,2024-07-06,B,feige110,2308,1.8408203125,263,261,482.41283160342755,478.6741383156277,1.5065527401548024,1.7848434599727625,262,260,True,5794.220703125,10041.35546875,6276.633534728428,9562.681330434372,6278.140087468582,9560.8964869744,feige110_2024-07-06_B
RL,8000,Medium,2024-12-28,B,feige110,2307,1.8408203125,262,260,480.5828643539953,476.8109275057668,0.0,1.301023860283749,261,259,True,5990.650390625,10235.2705078125,6471.233254978995,9758.459580306733,6471.233254978995,9757.15855644645,feige110_2024-12-28_B
RL,8100,Medium,2023-11-08,B,feige110,2307,1.83935546875,262,260,480.2328120163738,476.6157817694566,0.17535412498637015,3.943454161608315,261,259,True,6095.546875,10337.3544921875,6575.779687016374,9860.738710418043,6575.95504114136,9856.795256256435,feige110_2023-11-08_B
RM1,6130,Small,2024-04-01,A,feige34,4584,0.35791015625,543,478,194.11221511141684,170.86047786501786,3.9889633853181294,0.0,542,477,True,5344.1943359375,6985.31494140625,5538.306551048917,6814.454463541232,5542.295514434235,6814.454463541232,feige34_2024-04-01_A
RM1,6200,Large,2024-05-02,B,feige34,2266,0.71435546875,221,209,157.3445213417699,148.7322890815467,0.0,0.0,220,208,True,5407.90625,7026.3515625,5565.25077134177,6877.619273418453,5565.25077134177,6877.619273418453,feige34_2024-05-02_B
RM1,6300,Large,2024-03-15,B,feige34,2255,0.712890625,210,207,149.06807719806602,146.911556554689,0.0,0.0,209,206,True,5516.8095703125,7124.09765625,5665.877647510566,6977.186099695311,5665.877647510566,6977.186099695311,feige34_2024-03-15_B
RM1,6480,Large,2023-12-09,B,feige34,2252,0.7099609375,208,205,146.96046462479717,144.95363051875847,0.0,0.0,207,204,True,5702.06298828125,7299.81494140625,5849.023452906047,7154.8613108874915,5849.023452906047,7154.8613108874915,feige34_2023-12-09_B
RM1,6630,Large,2023-12-10,C,feige34,2252,0.70703125,207,205,145.78088992238736,144.31551885725185,0.0,0.0,206,204,True,5853.78857421875,7445.27001953125,5999.569464141137,7300.954500673998,5999.569464141137,7300.954500673998,feige34_2023-12-10_C
RM1,6630,Large,2023-12-11,C,feige34,2252,0.70703125,208,205,146.5076329948497,144.37411260725185,0.0,0.0,207,204,True,5853.86181640625,7445.32861328125,6000.3694494011,7300.954500673998,6000.3694494011,7300.954500673998,feige34_2023-12-11_C
RM1,7390,Small,2024-04-01,B,feige34,4556,0.345703125,455,449,156.97380172954126,154.94500685027742,0.0,0.0,454,448,True,6628.64892578125,8203.107421875,6785.622727510791,8048.162415024723,6785.622727510791,8048.162415024723,feige34_2024-04-01_B
RM1,7510,Large,2023-12-10,B,feige34,2241,0.6884765625,196,194,134.33595352104203,133.01024646132464,0.0,0.0,195,193,True,6752.45947265625,8294.85546875,6886.795426177292,8161.845222288675,6886.795426177292,8161.845222288675,feige34_2023-12-10_B
RM1,7510,Large,2023-12-11,B,feige34,2241,0.6884765625,197,194,135.0862731352745,132.9049019428967,0.0,0.0,196,193,True,6752.62744140625,8294.9677734375,6887.7137145415245,8162.062871494603,6887.7137145415245,8162.062871494603,feige34_2023-12-11_B
RM2,7750,Small,2024-05-09,A,feige34,4601,0.4970703125,499,494,247.6720257789775,245.32489193025322,0.0,0.0,498,493,True,6678.9052734375,8966.576171875,6926.5772992164775,8721.251279944747,6926.5772992164775,8721.251279944747,feige34_2024-05-09_A
RM2,8850,Small,2024-06-10,A,feige110,4551,0.48828125,513,423,250.22326966756827,206.17600011888499,0.0,0.0,512,422,True,7778.64697265625,10001.134765625,8028.870242323818,9794.958765506115,8028.870242323818,9794.958765506115,feige110_2024-06-10_A
