koaid                    , instrume, filehand                                          , targname     , rgratnam, rcwave      , rgrangle , rnasnam, ifunam , binning, ampmode, elaptime , ra       , dec      , raoff, decoff, utdatetime                , progid, progpi   , propint, filesize_mb, std_name  , sep_fov              , in_fov, name_ok
KR.20230716.30714.50.fits, KCWI    , /KCWI/2023/20230716/lev0/KR.20230716.30714.50.fits, bd26d2606    , RH2     , 6799.98047  , 108.51508, Open   , Large  , "2,2"  , L2U2   ,   5.00001, 222.25983, 25.70256 , 0.0  , 0.0   , 2023-07-16 08:31:54.050000, E327  , McGurk   ,      18,      9.4378, bd26d2606 ,  0.06340476743884542 , True  , True
KR.20230716.30781.37.fits, KCWI    , /KCWI/2023/20230716/lev0/KR.20230716.30781.37.fits, bd26d2606    , RH2     , 6799.98047  , 108.51508, Open   , Large  , "2,2"  , L2U2   ,   5.00001, 222.25983, 25.70256 , 0.0  , 0.0   , 2023-07-16 08:33:01.370000, E327  , McGurk   ,      18,      9.4378, bd26d2606 ,  0.06340476743884542 , True  , True
KR.20230716.30866.30.fits, KCWI    , /KCWI/2023/20230716/lev0/KR.20230716.30866.30.fits, bd26d2606    , RH2     , 6799.98047  , 108.51508, Open   , Large  , "2,2"  , L2U2   ,  30.00003, 222.25983, 25.70256 , 0.0  , 0.0   , 2023-07-16 08:34:26.030000, E327  , McGurk   ,      18,      9.4378, bd26d2606 ,  0.06340476743884542 , True  , True
KR.20230716.30939.47.fits, KCWI    , /KCWI/2023/20230716/lev0/KR.20230716.30939.47.fits, bd26d2606    , RH2     , 6799.98047  , 108.51508, Open   , Large  , "2,2"  , L2U2   ,  30.00003, 222.25983, 25.70256 , 0.0  , 0.0   , 2023-07-16 08:35:39.470000, E327  , McGurk   ,      18,      9.4378, bd26d2606 ,  0.06340476743884542 , True  , True
KR.20230716.31012.91.fits, KCWI    , /KCWI/2023/20230716/lev0/KR.20230716.31012.91.fits, bd26d2606    , RH2     , 6799.98047  , 108.51508, Open   , Large  , "2,2"  , L2U2   ,  30.00003, 222.26042, 25.70311 , 2.2  , 2.0   , 2023-07-16 08:36:52.910000, E327  , McGurk   ,      18,      9.4378, bd26d2606 ,  2.8147446529639963  , True  , True
KR.20230716.31146.53.fits, KCWI    , /KCWI/2023/20230716/lev0/KR.20230716.31146.53.fits, bd26d2606    , RH2     , 6799.98047  , 108.51508, Open   , Large  , "2,2"  , L2U2   ,  30.00003, 222.25983, 25.70256 , 0.0  , 0.0   , 2023-07-16 08:39:06.530000, E327  , McGurk   ,      18,      9.4378, bd26d2606 ,  0.06340476743884542 , True  , True
KR.20230716.31224.50.fits, KCWI    , /KCWI/2023/20230716/lev0/KR.20230716.31224.50.fits, bd26d2606    , RH2     , 6799.98047  , 108.51508, Open   , Large  , "2,2"  , L2U2   ,  30.00003, 222.25983, 25.70256 , 0.0  , 0.0   , 2023-07-16 08:40:24.050000, E327  , McGurk   ,      18,      9.4378, bd26d2606 ,  0.06340476743884542 , True  , True
KR.20230716.34972.56.fits, KCWI    , /KCWI/2023/20230716/lev0/KR.20230716.34972.56.fits, bd02d3375    , RH2     , 6799.98047  , 108.51508, Open   , Small  , "1,1"  , L2U2   ,  10.00001, 264.93996, 2.41656  , 0.0  , 0.0   , 2023-07-16 09:42:52.560000, E327  , McGurk   ,      18,     35.5219, bd02d3375 ,  0.017086134736453266, True  , True
KR.20230716.35299.98.fits, KCWI    , /KCWI/2023/20230716/lev0/KR.20230716.35299.98.fits, bd02d3375    , RH2     , 6799.98047  , 108.51508, Open   , Small  , "1,1"  , L2U2   , 200.0002 , 264.93996, 2.41656  , 0.0  , 0.0   , 2023-07-16 09:48:19.980000, E327  , McGurk   ,      18,     35.5219, bd02d3375 ,  0.017086134736453266, True  , True
KR.20230716.35605.98.fits, KCWI    , /KCWI/2023/20230716/lev0/KR.20230716.35605.98.fits, bd02d3375    , RH2     , 6799.98047  , 108.51508, Open   , Small  , "1,1"  , L2U2   , 200.0002 , 264.93996, 2.41656  , 0.0  , 0.0   , 2023-07-16 09:53:25.980000, E327  , McGurk   ,      18,     35.5219, bd02d3375 ,  0.017086134736453266, True  , True
KR.20230716.35907.90.fits, KCWI    , /KCWI/2023/20230716/lev0/KR.20230716.35907.90.fits, bd02d3375    , RH2     , 6799.98047  , 108.51508, Open   , Small  , "1,1"  , L2U2   , 200.0002 , 264.93996, 2.41656  , 0.0  , 0.0   , 2023-07-16 09:58:27.900000, E327  , McGurk   ,      18,     35.5219, bd02d3375 ,  0.017086134736453266, True  , True
KR.20230716.45609.12.fits, KCWI    , /KCWI/2023/20230716/lev0/KR.20230716.45609.12.fits, feige110     , RH1     , 6599.98926  , 100.10007, Open   , Small  , "1,1"  , L2U2   ,  60.00006, 349.99329, -5.16561 , 0.0  , 0.0   , 2023-07-16 12:40:09.120000, E327  , McGurk   ,      18,     35.5219, feige110  ,  0.39604508351221174 , True  , True
KR.20230716.46032.42.fits, KCWI    , /KCWI/2023/20230716/lev0/KR.20230716.46032.42.fits, feige110     , RH1     , 6599.98926  , 100.10007, Open   , Small  , "1,1"  , L2U2   , 300.0003 , 349.99329, -5.16561 , 0.0  , 0.0   , 2023-07-16 12:47:12.420000, E327  , McGurk   ,      18,     35.5219, feige110  ,  0.39604508351221174 , True  , True
KR.20230716.46438.38.fits, KCWI    , /KCWI/2023/20230716/lev0/KR.20230716.46438.38.fits, feige110     , RH1     , 6599.98926  , 100.10007, Open   , Small  , "1,1"  , L2U2   , 300.0003 , 349.99329, -5.16561 , 0.0  , 0.0   , 2023-07-16 12:53:58.380000, E327  , McGurk   ,      18,     35.5219, feige110  ,  0.39604508351221174 , True  , True
KR.20230716.51474.15.fits, KCWI    , /KCWI/2023/20230716/lev0/KR.20230716.51474.15.fits, feige110     , RH1     , 6619.99365  ,  99.87512, Open   , Large  , "2,2"  , L2U2   ,  60.00006, 349.99329, -5.16561 , 0.0  , 0.0   , 2023-07-16 14:17:54.150000, E327  , McGurk   ,      18,      9.4378, feige110  ,  0.39604508351221174 , True  , True
