# RH3 arc line list -- ThAr, 7900-9100 A, amplitude >= 300
# Built by build_rh4_linelist.py from ThAr_lines.dat
# RH3's FeAr catalogue holds 23 lines in band, enough to FIT a solution but not enough for holy-grail to IDENTIFY one: it found 5-9 lines per slit and solved 0 of 24.
# Creation Date: 2018-Jan-09
|   ion |      wave | NIST | Instr | amplitude |      Source |
|  Th I | 7901.7963 |    1 |     0 |      1200 |        NIST |
|  Th I | 7902.4934 |    1 |     0 |      1700 | NIST+MURPHY |
|  Th I | 7939.9169 |    1 |     0 |      1500 | NIST+MURPHY |
|  Th I | 7943.9108 |    1 |     0 |      1800 | NIST+MURPHY |
|  Ar I |  7950.362 |    1 |     0 |     20000 |        NIST |
|  Th I | 7956.7806 |    1 |     0 |      1100 | NIST+MURPHY |
|  Th I |  7957.254 |    1 |     0 |       630 |        NIST |
|  Th I | 7964.1733 |    1 |     0 |       300 | NIST+MURPHY |
|  Th I | 7974.7888 |    1 |     0 |      2200 | NIST+MURPHY |
|  Th I | 7976.3529 |    1 |     0 |       700 | NIST+MURPHY |
|  Th I | 7981.1677 |    1 |     0 |     27000 | NIST+MURPHY |
|  Th I |   7990.17 |    1 |     0 |      1600 | NIST+MURPHY |
|  Th I | 7993.5634 |    1 |     0 |       430 | NIST+MURPHY |
|  Th I | 7995.8795 |    1 |     0 |       820 | NIST+MURPHY |
|  Th I | 8002.2462 |    1 |     0 |       450 |        NIST |
|  Th I | 8005.6565 |    1 |     0 |       310 |        NIST |
|  Ar I |  8008.359 |    1 |     0 |     20000 |        NIST |
|  Ar I |   8016.99 |    1 |     0 |     25000 |        NIST |
|  Th I | 8024.4075 |    1 |     0 |      1300 |        NIST |
|  Th I | 8024.5374 |    1 |     0 |       480 |        NIST |
|  Th I | 8026.4596 |    1 |     0 |       480 | NIST+MURPHY |
|  Th I | 8027.9341 |    1 |     0 |       550 | NIST+MURPHY |
|  Th I | 8028.4218 |    1 |     0 |       360 |        NIST |
|  Th I | 8032.4088 |    1 |     0 |       900 | NIST+MURPHY |
|  Th I | 8034.6405 |    1 |     0 |      6200 | NIST+MURPHY |
|  Th I |  8060.189 |    1 |     0 |       420 |        NIST |
|  Th I | 8064.8477 |    1 |     0 |      1400 | NIST+MURPHY |
|  Th I | 8069.0452 |    1 |     0 |       800 |        NIST |
|  Th I | 8077.8732 |    1 |     0 |      1200 | NIST+MURPHY |
|  Th I | 8087.4425 |    1 |     0 |      1700 | NIST+MURPHY |
|  Th I | 8091.7091 |    1 |     0 |       370 | NIST+MURPHY |
|  Th I | 8094.4628 |    1 |     0 |       330 | NIST+MURPHY |
|  Th I | 8095.8494 |    1 |     0 |      4400 | NIST+MURPHY |
|  Ar I |  8105.921 |    1 |     0 |     20000 |        NIST |
|  Ar I |  8117.542 |    1 |     0 |     35000 |        NIST |
|  Th I | 8124.5814 |    1 |     0 |       340 |        NIST |
|  Th I |  8124.957 |    1 |     0 |      1100 |        NIST |
|  Th I | 8131.6407 |    1 |     0 |      1800 | NIST+MURPHY |
|  Th I |    8135.2 |    1 |     0 |       420 |        NIST |
|  Th I | 8140.1734 |    1 |     0 |       380 | NIST+MURPHY |
| Th II | 8140.6354 |    1 |     0 |       490 |        NIST |
|  Th I | 8140.7132 |    1 |     0 |      3200 |        NIST |
|  Th I | 8145.3772 |    1 |     0 |     12000 | NIST+MURPHY |
|  Th I | 8159.7868 |    1 |     0 |       540 |        NIST |
|  Th I | 8161.9713 |    1 |     0 |      6800 | NIST+MURPHY |
| Th II | 8165.3655 |    1 |     0 |       460 | NIST+MURPHY |
|  Th I |  8172.033 |    1 |     0 |      3000 | NIST+MURPHY |
|  Th I | 8174.3707 |    1 |     0 |       440 |        NIST |
|  Th I | 8189.1623 |    1 |     0 |     12000 | NIST+MURPHY |
|  Th I | 8196.6474 |    1 |     0 |       420 | NIST+MURPHY |
|  Th I |  8204.402 |    1 |     0 |       460 |        NIST |
| Th II | 8205.4563 |    1 |     0 |       630 |        NIST |
|  Th I |  8209.735 |    1 |     0 |       520 | NIST+MURPHY |
|  Th I | 8216.4054 |    1 |     0 |       600 | NIST+MURPHY |
| Th II | 8219.4855 |    1 |     0 |       540 | NIST+MURPHY |
|  Th I | 8229.7342 |    1 |     0 |       420 |        NIST |
|  Th I | 8233.6696 |    1 |     0 |       880 | NIST+MURPHY |
|  Th I | 8254.6622 |    1 |     0 |      4200 | NIST+MURPHY |
|  Th I | 8255.8837 |    1 |     0 |       540 | NIST+MURPHY |
|  Th I |  8257.012 |    1 |     0 |      1400 | NIST+MURPHY |
|  Th I | 8261.7829 |    1 |     0 |       630 |        NIST |
|  Th I | 8263.2854 |    1 |     0 |      1000 |        NIST |
|  Th I | 8266.1957 |    1 |     0 |      1000 |        NIST |
|  Ar I |  8266.794 |    1 |     0 |     10000 |        NIST |
|  Th I | 8277.9014 |    1 |     0 |      5900 | NIST+MURPHY |
|  Th I | 8290.6938 |    1 |     0 |       350 |        NIST |
|  Th I | 8294.8064 |    1 |     0 |       650 | NIST+MURPHY |
|  Th I |   8297.83 |    1 |     0 |       640 | NIST+MURPHY |
|  Th I | 8299.4572 |    1 |     0 |       620 | NIST+MURPHY |
|  Th I |  8313.915 |    1 |     0 |       680 |        NIST |
|  Th I |  8332.739 |    1 |     0 |     26000 | NIST+MURPHY |
|  Th I | 8343.7707 |    1 |     0 |       310 |        NIST |
|  Th I | 8361.0224 |    1 |     0 |      1700 | NIST+MURPHY |
|  Th I | 8368.3735 |    1 |     0 |      1000 | NIST+MURPHY |
|  Th I | 8369.6935 |    1 |     0 |      1000 | NIST+MURPHY |
|  Th I | 8371.6419 |    1 |     0 |      1400 |        NIST |
|  Th I | 8381.5291 |    1 |     0 |       430 | NIST+MURPHY |
|  Th I | 8388.0331 |    1 |     0 |       400 | NIST+MURPHY |
| Th II | 8389.4104 |    1 |     0 |       400 | NIST+MURPHY |
|  Th I | 8390.8419 |    1 |     0 |       840 | NIST+MURPHY |
|  Th I |  8394.703 |    1 |     0 |       340 |        NIST |
|  Th I | 8401.5664 |    1 |     0 |       440 |        NIST |
|  Th I | 8404.2995 |    1 |     0 |       740 |        NIST |
| Th II | 8406.1061 |    1 |     0 |       730 |        NIST |
|  Th I |  8408.988 |    1 |     0 |       380 |        NIST |
|  Ar I |  8410.521 |    1 |     0 |     15000 |        NIST |
|  Th I | 8414.2293 |    1 |     0 |       690 |        NIST |
|  Th I | 8419.0398 |    1 |     0 |     21000 | NIST+MURPHY |
|  Th I | 8420.3114 |    1 |     0 |      3900 | NIST+MURPHY |
|  Th I | 8423.5395 |    1 |     0 |     11000 | NIST+MURPHY |
|  Th I | 8426.3418 |    1 |     0 |       660 |        NIST |
|  Ar I |  8426.963 |    1 |     0 |     20000 |        NIST |
|  Th I | 8447.5294 |    1 |     0 |       310 |        NIST |
