# RH4 arc line list -- ThAr, 9200-10800 A, amplitude >= 100
# Built by build_rh4_linelist.py from ThAr_lines.dat
# PypeIt's default KCWI list (FeI/ArI/ArII) holds 4 lines above 9550 A; RH4 is centred at 9950.
# Creation Date: 2018-Jan-09
|   ion |       wave | NIST | Instr | amplitude |      Source |
|  Th I |  9202.2084 |    1 |     0 |       400 | NIST+MURPHY |
|  Th I |  9204.2566 |    1 |     0 |       610 |        NIST |
|  Th I |   9206.487 |    1 |     0 |     37000 | NIST+MURPHY |
|  Th I |  9210.5518 |    1 |     0 |       160 | NIST+MURPHY |
|  Th I |  9211.1078 |    1 |     0 |       400 | NIST+MURPHY |
|  Th I |  9218.4484 |    1 |     0 |       650 | NIST+MURPHY |
|  Th I |   9221.381 |    1 |     0 |       110 |        NIST |
|  Th I |  9223.9626 |    1 |     0 |       390 |        NIST |
|  Th I |  9224.8693 |    1 |     0 |       180 |        NIST |
|  Ar I |    9227.03 |    1 |     0 |     15000 |        NIST |
|  Th I |   9229.589 |    1 |     0 |       110 |        NIST |
|  Th I |  9230.0437 |    1 |     0 |      2600 | NIST+MURPHY |
|  Th I |  9235.0291 |    1 |     0 |       500 | NIST+MURPHY |
| Th II |  9235.8072 |    1 |     0 |       130 |        NIST |
|  Th I |  9236.3909 |    1 |     0 |       590 | NIST+MURPHY |
|  Th I |   9240.085 |    1 |     0 |       120 |        NIST |
|  Th I |  9241.8611 |    1 |     0 |       270 |        NIST |
|  Th I |  9246.2964 |    1 |     0 |       150 | NIST+MURPHY |
| Th II |    9247.79 |    1 |     0 |       430 |        NIST |
|  Th I |  9247.7923 |    1 |     0 |       150 |        NIST |
| Th II |   9252.425 |    1 |     0 |       220 |        NIST |
|  Th I |  9253.1162 |    1 |     0 |       150 | NIST+MURPHY |
|  Th I |   9262.866 |    1 |     0 |       370 |        NIST |
|  Th I |  9266.2245 |    1 |     0 |       130 |        NIST |
|  Th I |  9268.7491 |    1 |     0 |     10000 | NIST+MURPHY |
|  Th I |   9269.462 |    1 |     0 |      1900 |        NIST |
|  Th I |  9269.6134 |    1 |     0 |       180 |        NIST |
| Th II |  9270.2321 |    1 |     0 |       230 | NIST+MURPHY |
|  Th I |  9272.6934 |    1 |     0 |       770 | NIST+MURPHY |
