wavelength_A,throughput_smooth,throughput_std_smooth,throughput_mean_raw,n_configs
5580.0,0.09161,0.00743,0.08600,2
5585.0,0.09585,0.00737,0.09330,2
5590.0,0.10125,0.00732,0.10047,2
5595.0,0.10736,0.00726,0.10744,2
5600.0,0.11370,0.00721,0.11418,2
5605.0,0.11990,0.00716,0.12064,2
5610.0,0.12572,0.00711,0.12678,2
5615.0,0.13102,0.00707,0.13258,2
5620.0,0.13576,0.00703,0.13804,2
5625.0,0.14004,0.00700,0.13919,3
5630.0,0.14403,0.00698,0.14412,4
5635.0,0.14783,0.00696,0.14823,4
5640.0,0.15148,0.00694,0.15202,4
5645.0,0.15491,0.00694,0.15549,4
5650.0,0.15809,0.00693,0.15866,4
5655.0,0.16101,0.00693,0.16154,4
5660.0,0.16366,0.00694,0.16415,4
5665.0,0.16606,0.00694,0.16652,4
5670.0,0.16824,0.00695,0.16865,4
5675.0,0.17020,0.00695,0.17058,4
5680.0,0.17198,0.00695,0.17232,4
5685.0,0.17358,0.00695,0.17389,4
5690.0,0.17503,0.00695,0.17530,4
5695.0,0.17634,0.00694,0.17658,4
5700.0,0.17752,0.00693,0.17774,4
5705.0,0.17853,0.00692,0.17879,4
5710.0,0.17946,0.00691,0.17975,4
5715.0,0.18032,0.00689,0.18064,4
5720.0,0.18113,0.00687,0.18146,4
5725.0,0.18192,0.00685,0.18222,4
5730.0,0.18273,0.00683,0.18243,5
5735.0,0.18358,0.00680,0.18366,5
5740.0,0.18444,0.00678,0.18475,5
5745.0,0.18529,0.00677,0.18570,5
5750.0,0.18610,0.00675,0.18655,5
5755.0,0.18685,0.00674,0.18730,5
5760.0,0.18754,0.00673,0.18797,5
5765.0,0.18818,0.00673,0.18858,5
5770.0,0.18878,0.00674,0.18914,5
5775.0,0.18936,0.00675,0.18966,5
5780.0,0.18991,0.00677,0.19016,5
5785.0,0.19045,0.00680,0.19064,5
5790.0,0.19099,0.00684,0.19111,5
5795.0,0.19153,0.00688,0.19158,5
